x, y
-45.10086455,0.677669903
-35.87896254,0.710957004
-26.65706052,0.746463245
-16.57060519,0.786407767
-4.755043228,0.839667129
7.636887608,0.901803051
24.63976945,0.999445215
39.91354467,1.094868239
55.18731988,1.203606103
67.00288184,1.301248266
78.53025937,1.40110957
88.04034582,1.492094313
96.39769452,1.565325936
105.3314121,1.65631068
113.4005764,1.736199723
121.1815562,1.813869626
128.962536,1.893758669
137.6080692,1.975866852
145.1008646,2.042441054
150,2.086823856
